symbol,fiscal_year,quarter,eps,eps_a,dps,roe,net_profit,paidup_capital,quarter_num,fy_start
ACLBSL,082/083,q4,27.79,27.79,24.31,15.36,102017981.0,367143409.0,4,82
ACLBSL,082/083,q3,25.52,34.02,22.2,18.94,93684506.0,367143409.0,3,82
ACLBSL,082/083,q2,32.57,32.57,14.76,19.16,59784028.0,367143409.0,2,82
ACLBSL,082/083,q1,8.94,8.94,12.46,5.68,8206536.0,367143409.0,1,82
ACLBSL,081/082,q4,25.72,25.72,14.19,16.46,94418607.0,367143409.0,4,81
ADBL,082/083,q4,16.11,16.11,6.54,7.89,2630641835.0,19738231090.0,4,82
ADBL,082/083,q3,10.71,10.71,7.78,4.63,1393973951.0,19738231090.0,3,82
ADBL,082/083,q2,9.89,9.89,0.42,4.28,707426589.0,19738231090.0,2,82
ADBL,082/083,q1,0.17,0.17,15.58,0.07,5738886.0,19287936300.0,1,82
ADBL,081/082,q4,27.63,27.63,18.42,11.88,4154457792.0,19287936300.0,4,81
AHL,082/083,q3,-14.48,-19.26,-19.26,-26.99,-49240484.0,340000000.0,3,82
AHL,082/083,q2,-8.5,-17.0,-17.0,-21.99,-28907889.0,340000000.0,2,82
AHL,082/083,q1,4.33,17.32,17.32,19.19,14721880.0,340000000.0,1,82
AHL,081/082,q4,-8.28,-8.28,-8.28,-9.54,-28161037.0,340000000.0,4,81
AHL,081/082,q3,-9.02,-12.02,-12.02,-13.96,-30651017.0,340000000.0,3,81
AHPC,082/083,q3,4.41,4.41,4.41,3.97,133685442.0,4040403150.0,3,82
AHPC,082/083,q2,5.2,5.2,5.2,4.5,100063380.0,3848003000.0,2,82
AHPC,082/083,q1,4.71,4.71,4.71,4.17,45323282.0,3848003000.0,1,82
AHPC,081/082,q4,11.65,11.65,11.65,10.38,448137547.0,3848003000.0,4,81
AHPC,081/082,q3,11.85,11.85,11.85,10.81,341898520.0,3848003000.0,3,81
AKJCL,082/083,q3,2.56,2.56,2.56,2.07,38335960.0,2000000000.0,3,82
AKJCL,082/083,q2,4.63,4.63,4.63,4.99,46271035.0,2000000000.0,2,82
AKJCL,082/083,q1,5.78,5.78,5.78,6.29,28913710.0,2000000000.0,1,82
AKJCL,081/082,q4,2.05,2.05,2.05,2.27,41037975.0,2000000000.0,4,81
AKJCL,081/082,q3,2.25,2.25,2.25,2.49,33681696.0,2000000000.0,3,81
AKPL,082/083,q3,4.92,4.92,4.92,4.75,143780053.0,3895942100.0,3,82
AKPL,082/083,q2,7.93,7.93,7.93,7.65,154487610.0,3895942100.0,2,82
AKPL,082/083,q1,5.96,5.96,5.96,5.88,58006074.0,3895942100.0,1,82
AKPL,081/082,q4,4.37,4.37,4.37,-0.25,-9645192.0,3895942100.0,4,81
AKPL,081/082,q3,1.1,1.1,1.1,1.15,32199318.0,3895942100.0,3,81
ALBSL,082/083,q4,32.63,32.63,26.91,24.85,261939317.0,802685677.0,4,82
ALBSL,082/083,q3,29.28,29.28,18.57,17.82,176262587.0,802685677.0,3,82
ALBSL,082/083,q2,31.29,31.29,15.17,19.79,125574090.0,802685677.0,2,82
ALBSL,082/083,q1,12.18,12.18,23.21,6.92,22322105.0,733046280.0,1,82
ALBSL,081/082,q4,28.55,28.55,22.31,16.51,209277983.0,733046280.0,4,81
ALICL,082/083,q3,9.26,,8.26,7.39,347386584.0,5001159208.0,3,82
ALICL,082/083,q2,10.54,10.54,10.54,8.19,263563457.0,5001159208.0,2,82
ALICL,082/083,q1,12.64,12.64,12.64,9.71,152513040.0,4827767560.0,1,82
ALICL,081/082,q4,12.04,12.04,12.04,8.91,409337790.0,3399836310.0,4,81
ALICL,081/082,q3,13.13,13.13,13.13,10.21,334716929.0,3399836307.0,3,81
ANLB,082/083,q4,69.71,69.71,69.71,19.24,62399530.0,89507200.0,4,82
ANLB,082/083,q3,61.87,61.87,,,48469670.0,78343280.0,3,82
ANLB,082/083,q2,38.95,77.9,77.9,18.17,30514620.0,78343280.0,2,82
ANLB,082/083,q1,58.52,14.63,14.63,14.44,11464440.0,78343280.0,1,82
ANLB,081/082,q4,57.07,57.07,57.07,14.83,44711900.0,78343280.0,4,81
API,082/083,q3,13.76,13.76,13.76,11.9,658546633.0,6379724199.0,3,82
API,082/083,q2,14.03,14.03,14.03,11.93,426221665.0,6075927807.0,2,82
API,082/083,q1,17.3,17.3,17.3,15.08,262755150.0,6075927807.0,1,82
API,081/082,q4,7.04,7.04,7.04,6.34,427659228.0,6075927807.0,4,81
API,081/082,q3,7.76,7.76,7.76,7.06,353497566.0,6075927807.0,3,81
AVYAN,082/083,q4,57.04,57.04,18.09,35.93,142608423.0,250000000.0,4,82
AVYAN,082/083,q3,52.53,52.53,10.45,33.2,98498189.0,250000000.0,3,82
AVYAN,082/083,q2,61.89,61.89,3.63,41.43,77360058.0,250000000.0,2,82
AVYAN,082/083,q1,12.98,12.98,,10.29,8111463.0,250000000.0,1,82
AVYAN,081/082,q4,26.42,26.42,-16.02,20.81,66050203.0,250000000.0,4,81
BANDIPUR,082/083,q3,-0.57,,,-0.83,-16262387.0,2829993000.0,3,82
BANDIPUR,082/083,q2,-0.26,-0.53,-0.53,-0.57,-7491988.0,2829993000.0,2,82
BARUN,082/083,q3,2.01,2.01,2.01,1.86,16953841.0,1122532425.0,3,82
BARUN,082/083,q2,4.05,4.05,4.05,3.57,21696032.0,1071630000.0,2,82
BARUN,082/083,q1,7.09,7.09,7.09,6.65,18990584.0,1047786700.0,1,82
BARUN,081/082,q4,3.71,3.71,3.71,3.2,19855212.0,535815000.0,4,81
BARUN,081/082,q3,0.89,0.89,0.89,0.79,3578144.0,535815000.0,3,81
BEDC,082/083,q3,,-0.12,-0.12,-0.26,-508411.0,544053400.0,3,82
BEDC,082/083,q2,0.54,2.17,2.17,2.23,2946172.0,544053400.0,2,82
BEDC,082/083,q1,1.88,7.64,7.64,15.26,10394835.0,544053400.0,1,82
BEDC,081/082,q4,-5.51,-5.51,-5.51,-11.45,-29987200.0,544053400.0,4,81
BEDC,081/082,q3,-3.59,-4.79,-4.59,,-19549178.0,544053400.0,3,81
BFC,082/083,q3,8.8,8.8,-54.95,7.79,58755958.0,890424236.0,3,82
BFC,082/083,q2,3.93,3.93,-58.77,3.66,17485624.0,890424236.0,2,82
BFC,082/083,q1,-24.58,-24.58,-159.16,-20.66,-54516770.0,890424240.0,1,82
BFC,081/082,q4,0.23,0.23,-33.92,0.03,2077504.0,890424236.0,4,81
BFC,081/082,q3,-11.26,-11.26,-48.74,-0.76,-75201727.0,890424236.0,3,81
BGWT,082/083,q3,11.16,11.16,11.16,9.88,56770296.0,678239900.0,3,82
BGWT,082/083,q2,9.22,9.22,9.22,8.46,31259337.0,678239900.0,2,82
BGWT,082/083,q1,10.8,10.8,10.8,6.64,16066882.0,594947300.0,1,82
BGWT,081/082,q4,11.13,11.13,11.13,9.24,66197890.0,594947300.0,4,81
BGWT,081/082,q3,9.46,9.46,9.46,8.13,42230827.0,537799632.0,3,81
BHCL,082/083,q3,7.82,10.43,10.43,9.49,71083096.0,909101300.0,3,82
BHCL,082/083,q2,5.52,11.05,11.05,10.29,50215781.0,909101300.0,2,82
BHCL,082/083,q1,1.95,1.95,1.95,7.53,17754482.0,909101300.0,1,82
BHDC,082/083,q3,9.92,,,,117655737.0,1186290000.0,3,82
BHDC,082/083,q2,9.92,19.83,19.83,16.13,112045568.0,1129800000.0,2,82
BHDC,082/083,q1,30.87,30.87,30.87,26.41,87182430.0,1129800000.0,1,82
BHDC,081/082,q4,5.35,5.35,,4.89,60389434.0,1129800000.0,4,81
BHDC,081/082,q3,5.87,7.83,7.83,7.11,66350703.0,1129800000.0,3,81
BHL,082/083,q3,8.59,8.59,8.59,10.72,235658816.0,3655940000.0,3,82
BHL,082/083,q2,12.48,12.48,12.48,15.44,228148233.0,3655940000.0,2,82
BHL,082/083,q1,13.62,13.62,13.62,17.46,124475358.0,3655940000.0,1,82
BHL,081/082,q4,-14.45,-14.45,-14.45,-11.69,-393999490.0,3655940000.0,4,81
BHL,081/082,q3,-15.98,-15.98,-15.98,,-326670435.0,3655940000.0,3,81
BHPL,082/083,q3,-0.44,-0.58,-0.58,-0.39,-1098032.0,250000000.0,3,82
BHPL,082/083,q2,0.93,1.86,1.86,3.65,2329906.0,250000000.0,2,82
BHPL,082/083,q1,9.48,2.37,9.48,18.0,5927831.0,250000000.0,1,82
BHPL,081/082,q4,-1.87,-1.87,-1.87,-3.55,-4682089.53,250000000.0,4,81
BHPL,081/082,q3,1.19,1.58,1.58,2.86,2966086.0,250000000.0,3,81
BJHL,082/083,q3,,-3.26,-3.26,-3.66,-24428841.0,1000000000.0,3,82
BNHC,082/083,q4,1.81,1.81,1.81,1.5,12074483.6,800000000.0,4,82
BNHC,082/083,q3,7.78,7.78,7.78,9.21,23342804.56,400000000.0,3,82
BNHC,082/083,q2,5.12,10.24,10.24,12.25,20481429.91,400000000.0,2,82
BNHC,082/083,q1,7.52,7.52,,9.41,7518322.5,400000000.0,1,82
BNHC,081/082,q4,-5.65,-5.65,-5.65,-7.32,-22594427.47,400000000.0,4,81
BNT,082/083,q3,229.0,305.0,305.0,9.7,277051000.0,121000000.0,3,82
BNT,082/083,q2,112.0,224.0,224.0,7.0,135494000.0,121000000.0,2,82
BNT,082/083,q1,226.0,905.0,905.0,28.81,273853000.0,121000000.0,1,82
BNT,081/082,q4,-502.0,-502.0,-502.0,-17.0,-607572000.0,121000000.0,4,81
BNT,081/082,q3,67.0,89.0,89.0,6.0,80755000.0,121000000.0,3,81
BOKL,079/080,q1,10.57,,,6.05,280615308.0,10623994072.0,1,79
BOKL,078/079,q4,17.04,,1.22,10.1,1810276510.0,10623994072.0,4,78
BOKL,078/079,q3,10.93,,,6.94,870781480.0,10623994070.0,3,78
BOKL,078/079,q2,13.541412281013931,,,8.495562030855023,719319419.0,10623994072.0,2,78
BOKL,078/079,q1,10.5,,,1.505,253477341.0,9658176429.0,1,78
BPCL,082/083,q3,8.78,11.68,11.68,5.55,299317000.0,3409065000.0,3,82
BPCL,082/083,q2,6.61,13.22,13.22,6.34,225380000.0,3409065000.0,2,82
BPCL,082/083,q1,2.49,9.95,9.95,4728.55,84802000.0,3409065000.0,1,82
BPCL,081/082,q4,6.63,6.63,6.63,3.19,226150000.0,3409065000.0,4,81
BPCL,081/082,q3,6.17,8.23,8.23,3.96,210299000.0,3409065000.0,3,81
BUNGAL,082/083,q3,-0.59,-0.78,-0.78,-0.93,-4889998.0,830000000.0,3,82
BUNGAL,082/083,q2,3.34,6.68,6.68,7.54,27739361.0,830000000.0,2,82
CBBL,082/083,q3,33.41,33.41,72.18,13.78,906476531.19,3617264101.5,3,82
CBBL,082/083,q2,31.85,31.85,47.43,13.63,576096501.93,3617264101.5,2,82
CBBL,082/083,q1,33.46,33.46,71.12,12.57,269002800.0,3215345870.0,1,82
CBBL,081/082,q4,37.38,37.38,64.84,14.65,1212874494.97,3215345868.0,4,81
CBBL,081/082,q3,35.39,35.39,76.35,11.79,853550555.57,3215345868.0,3,81
CBL,079/080,q2,14.04,,,10.32,637022000.0,9075844000.0,2,79
CBL,079/080,q1,18.29,,,13.36,415091000.0,9075844000.0,1,79
CBL,078/079,q4,15.26,,11.08,11.09,1384685000.0,9075844000.0,4,78
CBL,078/079,q3,13.28,,,10.42,904123000.0,9075844000.0,3,78
CBL,078/079,q2,1.66,,,8.689573532439114,504001000.0,8643661000.0,2,78
CCBL,079/080,q1,13.34,,,10.22,318515000.0,9553909000.0,1,79
CCBL,078/079,q4,14.21,,0.95,11.09,1357231000.0,9553909000.0,4,78
CCBL,078/079,q3,14.17,,,11.42,1015683000.0,9553909000.0,3,78
CCBL,078/079,q2,15.12,,,12.423339426612456,722164000.0,9553909000.0,2,78
CCBL,078/079,q1,12.06,,,8.31,272476000.0,9034430000.0,1,78
CFCL,082/083,q3,5.19,5.19,-30.36,4.52,36938261.0,948875459.0,3,82
CFCL,082/083,q2,8.26,8.26,-29.09,7.27,39191304.0,948875459.0,2,82
CFCL,082/083,q1,7.78,7.78,-32.16,6.8,18444570.0,948875460.0,1,82
CFCL,081/082,q4,9.4,9.4,-31.88,8.92,948875459.0,948875459.0,4,81
CFCL,081/082,q3,2.39,2.39,-38.27,2.25,16977677.0,948875459.0,3,81
CGH,082/083,q3,-0.58,-0.58,,-0.77,-9384489.0,1610795550.0,3,82
