symbol,open,high,low,close,change_percent,volume,traded_amount
ACLBSL,943.0,943.0,918.5,937.0,-0.64,26.0,24038.5
ADBL,305.0,306.0,303.1,304.0,-0.26,22448.0,6833113.2
ADBLB87,1000.0,1016.0,1000.0,1016.0,0.0,700000.0,708799000.0
ADBLD83,1015.0,1015.0,1015.0,1015.0,-0.98,49.0,49735.0
AHL,412.0,432.0,410.1,420.5,1.82,5152.0,2168556.5
AHPC,270.8,270.8,264.0,264.9,-0.38,74965.0,19868141.0
AKJCL,361.0,366.0,359.0,360.0,-0.83,161617.0,58382617.5
AKPL,255.1,256.9,253.0,253.2,-1.06,39240.0,9967829.0
ALBSL,1081.0,1155.0,1081.0,1122.9,-0.19,6912.0,7688665.5
ALICL,419.0,423.9,419.0,420.0,0.24,7425.0,3124696.4
ANLB,5200.0,5548.0,5200.0,5320.0,-1.48,999.0,5296281.0
APHL,810.0,815.0,804.0,805.0,-0.62,6512.0,5257534.4
API,336.8,336.8,328.5,332.9,0.39,194581.0,64419277.7
AVYAN,1097.9,1100.0,1075.0,1075.0,-1.29,4570.0,4958620.1
BANDIPUR,685.0,698.9,681.2,693.5,1.17,20753.0,14426218.4
BARUN,325.0,326.0,320.0,320.0,-0.93,15063.0,4865911.8
BBC,4210.0,4210.0,4074.0,4080.0,-2.86,823.0,3379739.0
BEDC,322.7,322.7,315.0,319.4,0.13,8965.0,2850534.8
BFC,494.0,495.0,482.0,485.0,-1.82,24707.0,12025477.4
BGWT,530.0,535.0,514.1,514.1,-3.0,4811.0,2531946.0
BHCL,492.0,530.0,488.7,522.1,6.86,158720.0,82215575.2
BHDC,432.0,432.0,426.0,428.0,-0.7,3377.0,1446085.8
BHL,213.1,214.5,209.0,211.0,-0.47,89659.0,18904532.3
BHPL,479.0,489.9,465.0,489.9,-0.02,13373.0,6269645.6
BJHL,687.0,707.0,680.0,696.0,1.31,10979.0,7647686.9
BNHC,300.3,300.3,280.0,282.9,-1.08,13759.0,3892788.8
BNT,11625.0,11625.0,11625.0,11625.0,-2.3,10.0,116250.0
BPCL,650.1,650.1,640.0,644.9,-0.63,9810.0,6314209.5
BUNGAL,585.0,586.1,580.1,580.1,-0.84,13721.0,7996622.8
C30MF,10.0,10.03,10.0,10.03,0.3,200.0,2003.0
CBBL,936.0,942.0,933.5,933.5,-0.16,6833.0,6403265.4
CFCL,615.0,681.0,615.0,639.0,-1.08,169405.0,108329942.0
CGH,778.0,785.0,777.0,777.7,-0.89,7520.0,5854264.5
CHCL,481.0,486.0,474.0,478.9,-0.66,66504.0,31719717.2
CHDC,2249.8,2249.9,2210.0,2228.0,0.13,7563.0,16822187.8
CHL,279.0,279.0,267.0,269.0,-1.1,11467.0,3090769.9
CIT,1710.0,1719.5,1700.0,1700.0,-0.79,3997.0,6811260.6
CITY,370.0,372.8,360.0,365.0,-1.43,150226.0,54733007.7
CKHL,581.0,603.0,581.0,600.6,-1.54,2230.0,1334520.0
CLI,433.0,442.0,432.1,440.0,1.85,14215.0,6194944.6
CORBL,1055.5,1088.0,1050.0,1058.0,0.27,24515.0,26179951.7
CREST,1238.8,1238.8,1166.0,1179.0,-0.08,3882.0,4545562.5
CSY,9.0,9.52,8.22,8.25,-8.33,78343.0,669153.68
CYCL,1235.0,1387.0,1235.0,1355.0,4.23,8893.0,12043861.2
CZBIL,205.0,205.0,200.0,202.7,-1.07,37173.0,7497563.7
DDBL,855.0,855.0,850.0,853.0,-0.23,6500.0,5531187.4
DHEL,600.0,602.0,591.0,594.0,-1.0,11873.0,7070721.2
DHPL,289.9,291.0,286.0,286.0,-1.35,3493.0,1006203.7
DOLTI,328.0,328.0,316.5,319.9,0.38,13200.0,4209527.5
DORDI,254.0,258.8,252.0,254.0,0.0,23277.0,5965034.8
EBL,729.6,730.0,720.0,728.0,0.83,46601.0,33903228.0
EBLD91,1065.0,1065.0,1062.0,1062.0,1.04,50.0,53175.0
ECL,1520.0,1570.0,1520.0,1534.1,-1.65,11310.0,17434161.1
EDBL,575.0,579.0,575.0,578.9,-1.38,3124.0,1800979.1
EHPL,351.3,351.3,331.5,337.0,0.72,9870.0,3307374.0
ENL,805.0,823.9,800.1,823.9,2.51,220.0,177336.0
FMDBL,790.0,830.0,762.0,830.0,6.96,43843.0,34104381.8
FOWAD,940.0,960.0,935.0,944.8,0.62,1813.0,1712702.6
GBBL,424.1,427.0,421.1,423.7,-0.14,42406.0,18028717.4
GBILD84/85,1101.0,1101.1,1101.0,1101.1,-0.17,40.0,44041.0
GBILD86/87,1061.3,1061.3,1060.5,1060.9,-0.39,150.0,159153.3
GBIME,251.0,255.0,251.0,252.9,0.52,97314.0,24599447.4
GBIMEP,100.0,100.0,100.0,100.0,0.0,64721.0,6472100.0
GBIMESY2,9.0,9.0,8.94,9.0,0.0,700.0,6294.0
GBLBS,730.0,735.0,710.0,722.9,-2.78,7026.0,5055219.7
GCIL,342.1,347.0,342.1,344.0,-0.58,7179.0,2472317.0
GFCL,604.0,605.0,596.2,603.0,-0.15,5290.0,3173142.7
GHL,256.7,260.5,246.0,249.0,-3.0,314454.0,79270186.4
GIBF1,10.5,10.69,10.5,10.69,-1.02,1000.0,10651.0
GILB,1130.0,1140.7,1112.0,1133.7,2.14,1536.0,1737155.2
GLBSL,1757.0,1786.9,1715.0,1732.0,-1.42,275.0,478086.8
GLH,253.0,268.3,253.0,261.1,-1.02,43273.0,11391692.8
GMFBS,1220.0,1220.0,1125.0,1158.0,-1.86,140.0,160876.0
GMFIL,452.1,453.0,445.4,447.0,-1.76,17149.0,7708037.2
GMLI,1070.0,1099.0,1051.0,1099.0,0.09,3071.0,3294399.9
GRDBL,1030.0,1045.0,1030.0,1041.0,-0.76,2140.0,2224516.0
GSY,9.22,9.63,9.22,9.6,2.67,3500.0,33188.0
GUFL,565.3,566.3,549.1,551.0,-3.01,28635.0,15863876.7
GVL,474.6,479.9,474.6,477.0,-0.25,4851.0,2316497.2
H8020,11.8,11.8,11.8,11.8,0.0,300.0,3540.0
HATHY,678.2,683.0,676.0,677.0,0.0,4648.0,3160131.6
HBL,200.0,200.0,192.5,194.8,-0.1,47292.0,9216455.9
HDHPC,213.5,215.9,211.0,212.0,-0.7,104124.0,22259060.5
HDL,1120.0,1183.0,1120.0,1175.0,0.77,31231.0,36680099.8
HEI,532.0,535.0,529.0,535.0,0.56,681.0,361309.9
HEIP,320.1,320.1,320.1,320.1,-3.0,10.0,3201.0
HFIN,679.0,688.0,673.0,680.0,0.15,16249.0,11072537.5
HHL,340.1,345.0,340.1,343.5,1.33,24251.0,8300678.0
HIDCL,245.9,265.0,245.9,256.0,-1.08,66258.0,16947837.1
HIDCLP,192.8,192.8,189.1,189.2,-0.11,23278.0,4408335.7
HIMSTAR,691.1,728.9,680.1,690.0,-1.61,7840.0,5451078.8
HLBSL,865.0,865.0,853.0,856.1,-2.61,294.0,251325.0
HLI,319.9,324.0,319.9,320.8,0.28,21915.0,7053461.3
HLICF,8.5,8.9,8.5,8.6,2.26,1834.0,15961.5
HPPL,373.0,384.0,373.0,383.5,0.79,126149.0,48091529.3
HRL,590.0,590.0,578.3,579.0,-0.69,26117.0,15152132.1
HURJA,249.9,249.9,243.3,244.4,-0.57,65095.0,16005993.3
ICFC,604.0,604.0,595.0,600.0,-0.5,11549.0,6912475.0
ICFCD83,1032.0,1032.0,1032.0,1032.0,-1.62,26.0,26832.0
ICFCD89,1080.0,1092.0,1080.0,1092.0,0.0,100.0,108775.0
IGI,430.0,435.9,425.0,429.0,-0.23,2259.0,964763.0
IHL,344.1,345.0,339.2,343.0,-0.41,9094.0,3099720.9
ILBS,904.0,904.0,877.0,894.0,0.11,1655.0,1463896.0
ILI,413.1,424.9,413.1,417.0,0.24,3619.0,1508361.7
JBBL,322.0,342.0,322.0,338.0,-0.03,26308.0,8849123.5
JBLB,1270.0,1279.8,1258.0,1263.4,0.27,5810.0,7355260.6
JFL,391.0,391.0,380.3,380.3,-1.71,4569.0,1743986.2
JHAPA,1080.0,1093.7,1078.0,1084.9,-0.72,2426.0,2629304.4
JOSHI,290.0,290.0,276.0,280.0,-1.72,22086.0,6191100.4
JSLBB,950.0,978.5,950.0,969.0,0.94,1685.0,1615811.1
KAHL,530.0,543.0,528.2,536.0,-0.56,21868.0,11706319.7
KBL,225.0,225.0,216.0,216.8,-0.55,155077.0,33661224.1
KBSH,929.1,968.0,925.0,944.9,-1.35,14920.0,14023606.9
KDBY,10.92,11.1,10.92,11.1,0.91,115392.0,1269866.7
KDL,775.0,777.0,770.1,770.1,-0.63,336.0,259678.0
